,elapsed,accuracy,targ_std,targ_mean,train_loss,valid_loss,model,leak,sub,maxv
203,34.750342,0.8513000011444092,1.0,0.0,0.375154912630717,0.41746274347305296,get_model_fc,0.1,0.2,3.0
204,34.738168,0.8504999876022339,1.0,0.0,0.3466892272631327,0.407171418595314,get_model_fc,0.1,0.2,5.0
205,34.412828,0.8454999923706055,1.0,0.0,0.34561960563659666,0.41650825715065004,get_model_fc,0.1,0.2,
206,35.12331,0.8393999934196472,1.0,0.0,0.40575289586385094,0.4453846227645874,get_model_fc,0.1,,3.0
207,34.644824,0.8428999781608582,1.0,0.0,0.358575626373291,0.44831315116882325,get_model_fc,0.1,,5.0
208,34.316579,0.8539999723434448,1.0,0.0,0.3495014254411062,0.40597270913124084,get_model_fc,0.1,,
209,34.943562,0.8557999730110168,1.0,0.0,0.3718501320997874,0.40551093821525575,get_model_fc,0.4,-0.1,3.0
210,34.811485,0.8492000102996826,1.0,0.0,0.36438990337053934,0.42287332735061645,get_model_fc,0.4,-0.1,5.0
211,34.425511,0.8482000231742859,1.0,0.0,0.37667703444163003,0.4220383650302887,get_model_fc,0.4,-0.1,
212,34.765723,0.8518999814987183,1.0,0.0,0.3633929354667664,0.4166740797996521,get_model_fc,0.4,0.1,3.0
213,34.760941,0.853600025177002,1.0,0.0,0.3649347122510274,0.40544256019592284,get_model_fc,0.4,0.1,5.0
214,34.422187,0.84170001745224,1.0,0.0,0.37570277490615844,0.4388176080465317,get_model_fc,0.4,0.1,
215,34.765347,0.859000027179718,1.0,0.0,0.364707245349884,0.40164984862804415,get_model_fc,0.4,0.2,3.0
216,34.795676,0.84170001745224,1.0,0.0,0.3684745401064555,0.438422420334816,get_model_fc,0.4,0.2,5.0
217,34.466694,0.8335999846458435,1.0,0.0,0.3747802988688151,0.46691482915878296,get_model_fc,0.4,0.2,
218,34.677051,0.8377000093460083,1.0,0.0,0.3685924311637878,0.4483354374885559,get_model_fc,0.4,,3.0
219,34.690139,0.858299970626831,1.0,0.0,0.3708441550890605,0.393010414814949,get_model_fc,0.4,,5.0
220,34.370954,0.8465999960899353,1.0,0.0,0.37024946908950807,0.42630729327201844,get_model_fc,0.4,,
221,34.415151,0.10000000149011612,1.0,0.0,2.302750656636556,2.302634214401245,get_model_fc,,,
222,40.674837,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,-0.1,3.0
223,40.907473,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,-0.1,5.0
224,39.493562,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,-0.1,
225,40.806288,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,0.1,3.0
226,40.838216,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,0.1,5.0
227,39.580066,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,0.1,
228,40.676652,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,0.2,3.0
229,40.594311,0.8289999961853027,1.0,0.5,0.40779808400472006,0.45929896149635313,get_model_conv,-0.1,0.2,5.0
230,39.511614,0.86080002784729,1.0,0.5,0.35293362188339233,0.3913338254213333,get_model_conv,-0.1,0.2,
231,40.38578,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,,3.0
232,40.450516,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,,5.0
233,39.220986,0.10000000149011612,1.0,0.5,,,get_model_conv,-0.1,,
234,40.408247,0.8438000082969666,1.0,0.5,0.3724157548904419,0.42302089529037473,get_model_conv,0.1,-0.1,3.0
